ar_jak15,JAK-15,35,3,5.56mm,"From the coasts of America and now in Finnish hands, this semi-automatic is a hunter’s dream. The AR15 is complex but very easy to use. A gas-operated weapon served to deliver the best in the business.",Weapon
ar_ak12,AK12,40,3.5,7.62mm,"The fifth of the AK series, with improved gripping and piston cooling. This service rifle has been standardized for the KVPV, utilized in any combat scenario and selected for its wide variety of classifications.",Weapon
ar_m4a1,M4A1,40,3.46,5.56mm,"This is one-of-a-kind, with not only its amazing combat capabilities, but also its wide range of modifications. Careful combatants keep this in good condition.",Weapon
ar_a3raker,A3 Raker,25,3.6,5.56mm,"This Austrian classic has a built-in scope and provides excellent range capability. In longer ranged fights, this is the best in-between a marksman and a carbine.",Weapon
smg_tel6,TEL-6,65,2.5,9mm,"One of the most popular weapons around the world, this submachine gun is precise, great for self-defense, and can be used in any scenario.",Weapon
smg_saf45,SAF 45,50,5,.45 ACP,"This submachine gun excels far better than most in its category. With well-rounded range and powerful .45 ACP rounds, you can never count out the UMP45.",Weapon
smg_jotscqb,JOTS CQB,55,4.2,.45 ACP,"Rapid bursts and fine design make this classic one of the most accurate weapons out there. The bursts are not a disadvantage, and provide great compensation.",Weapon
shg_regest12,Regest-12,30,3.82,12-Gauge,"Powerful rounds, powerful gun. Super rapid semi-fire for a shotgun sending your enemies to dust.",Weapon
shg_nova,NOVA,40,3.66,12-Gauge,A layer of confetti ready to blow away the guts of those in front. Extremely inaccurate at farther ranges.,Weapon
sni_mars2k,MARS-2K,15,6.95,.300 Win,"Despite its lack of mobility, this longshot is great in tactical encounters and fits best with passive assasins and is very deadly in grassy terrain.",Weapon
sni_tikkat3,Tikka T3,60,3.44,.300 Win,"This rifle can perform in all levels of marksmanship. Despite being renowned for its hunting ability, this multipurpose rifle can adapt with a clear minded sniper.",Weapon
sni_kar98k,Kar98K,30,3.7,7.62mm,"The Kar’s bullets travel at blazing speeds despite its large caliber, making it one of the most lethal weapons out there. This rifle can penetrate through almost any material, with exception of the most dense metals.",Weapon
pis_glock,Glock,90,0.785,9mm,This world-renowned firearm serves as the epitome of pistols. Its accuracy and sleek build stand out from other pistols.,Weapon
pis_p2,P2,90,0.8,9mm,"A pistol from the England Isles, the P226 is well compensated and performs exceptionally in CQC scenarios.",Weapon
pis_fsb,FS-B,30,0.61,5.7x28,A formidable pistol with a terminal design that can be equipped with a suppressor for maximum efficiency and deadly accuracy. The Five-Seven is great for follow-up shots and feels quick in the hands.,Weapon
pis_usp45,USP-45,45,0.78,.45 ACP,"Built with a recoil reduction system, its intentional design makes this pistol very easy to use, and is lethal in dangerous hands.",Weapon
lukas50,Lukas 50,2,2.04,50 AE,"This Deagle chambers one of the largest cartridges of any feeding firearm. The .50 AE rounds eliminate any imminent threat in its way, and shreds through most surfaces. Heavy recoil, heavy damage.",Weapon
lmg_detrov1,LMG-1 Detrov,20,8.7,7.62mm,Rumbling rounds and unstoppable power. Heavier than most weapons.,Weapon